"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"3","Web Shipment","0","Object Store","0","0","","0"
"8","Web Shipment","0","Storage Configuration","0","0","","0"
"2","Web Shipment","0","Alerts","0","0","","0"
"1","Web Shipment","0","API Health","0","0","","0"
"2","Web Shipment","0","Network","0","0","","0"
"1","Web Shipment","0","External Storage","0","0","","0"
"1","Web Shipment","0","Authentication","0","0","","0"
"1","Web Shipment","0","System Status","0","0","","0"
"1","Web Shipment","0","Settings","0","0","","0"
"1","Web Shipment","0","Power","0","0","","0"
"1","Web Shipment","0","Cloud Setup","0","0","","0"
"1","Web Shipment","0","Sanity","0","0","","0"
