"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Object Store > Access screen renders its entry point without erroring.","0","test_object_store_access_page_loads","tests.web","2026-09-15","broken","2026-09-15","","test_object_store","",""
"Migrated storage variant matrix from legacy test_ui_configure_all_variants.

    One test node per ``storage_variant`` (see ``pytest_generate_tests`` above)
    instead of one test looping over the whole matrix.
    ","0","test_ui_configure_storage_variant[fs=zfs|enc=False|raid=0_5|io=512|sync=application sync|dedup=False|cmp=False|obj=False]","tests.web","2026-09-15","broken","2026-09-15","","test_web_shipment","",""
"Object Store > Configure lists at least the primary management interface.

    ``oob_net0`` is the always-present management interface on this device
    (confirmed live), so its presence in this list is a stable, safe thing to
    assert regardless of whatever other interfaces are currently configured.
    ","0","test_object_store_configure_lists_known_interface","tests.web","2026-09-15","broken","2026-09-15","","test_object_store","",""
"Email Setup and Notification (SNS/SQS) screens both render their list tables.","0","test_alerts_email_and_notification_pages_load","tests.web","2026-09-15","broken","2026-09-15","","test_system_administration","",""
"Migrated storage variant matrix from legacy test_ui_configure_all_variants.

    One test node per ``storage_variant`` (see ``pytest_generate_tests`` above)
    instead of one test looping over the whole matrix.
    ","0","test_ui_configure_storage_variant[fs=zfs|enc=False|raid=0_5|io=2048|sync=application sync|dedup=False|cmp=False|obj=False]","tests.web","2026-09-15","broken","2026-09-15","","test_web_shipment","",""
"Migrated storage variant matrix from legacy test_ui_configure_all_variants.

    One test node per ``storage_variant`` (see ``pytest_generate_tests`` above)
    instead of one test looping over the whole matrix.
    ","0","test_ui_configure_storage_variant[fs=zfs|enc=False|raid=0_5|io=512|sync=application sync|dedup=False|cmp=False|obj=True]","tests.web","2026-09-15","broken","2026-09-15","","test_web_shipment","",""
"Fast, browser-free health check that the device's management API responds.

    Runs before any browser-driven test so a dead/unreachable device fails
    immediately with a clear API error instead of burning time on a slow
    browser navigation timeout first.
    ","874","test_device_api_reports_system_info","tests.web","2026-09-15","broken","2026-09-15","","test_web_shipment","",""
"Migrated static-IP network configure flow with API-verified rollback.","0","test_ui_network_configure","tests.web","2026-09-15","broken","2026-09-15","","test_web_shipment","",""
"Real validation-behaviour test: ADD stays disabled until the form is fully valid.

    Fills User Name + Email but deliberately leaves Alert Category unset, then
    asserts ADD is still disabled - proving the form enforces all three
    required fields client-side. Never actually submits (no alert user is
    created), so it's safe to run repeatedly with no cleanup needed.
    ","0","test_alerts_receiver_add_user_form_requires_all_fields","tests.web","2026-09-15","broken","2026-09-15","","test_system_administration","",""
"Migrated storage variant matrix from legacy test_ui_configure_all_variants.

    One test node per ``storage_variant`` (see ``pytest_generate_tests`` above)
    instead of one test looping over the whole matrix.
    ","0","test_ui_configure_storage_variant[fs=zfs|enc=True|raid=0_5|io=2048|sync=application sync|dedup=False|cmp=False|obj=True]","tests.web","2026-09-15","broken","2026-09-15","","test_web_shipment","",""
"Migrated storage variant matrix from legacy test_ui_configure_all_variants.

    One test node per ``storage_variant`` (see ``pytest_generate_tests`` above)
    instead of one test looping over the whole matrix.
    ","0","test_ui_configure_storage_variant[fs=zfs|enc=False|raid=0_5|io=2048|sync=application sync|dedup=False|cmp=False|obj=True]","tests.web","2026-09-15","broken","2026-09-15","","test_web_shipment","",""
"External Storage screen renders its entry point (""Add"") without erroring.","0","test_external_storage_page_loads","tests.web","2026-09-15","broken","2026-09-15","","test_system_administration","",""
"Negative-path check: wrong credentials must not reach the authenticated app shell.","0","test_login_with_invalid_credentials_is_rejected","tests.web","2026-09-15","broken","2026-09-15","","test_web_shipment","",""
"Migrated storage variant matrix from legacy test_ui_configure_all_variants.

    One test node per ``storage_variant`` (see ``pytest_generate_tests`` above)
    instead of one test looping over the whole matrix.
    ","0","test_ui_configure_storage_variant[fs=zfs|enc=True|raid=0_5|io=2048|sync=application sync|dedup=False|cmp=False|obj=False]","tests.web","2026-09-15","broken","2026-09-15","","test_web_shipment","",""
"Exercises the real create-bucket form interaction without persisting a bucket.

    Verified live and mirrored here: CREATE BUCKET starts disabled, becomes
    enabled once a name is typed, and CANCEL reverts cleanly with the bucket
    list unchanged. This is deliberately the ""Cancel"" path only - this device
    already has real user buckets (""jjejej"", ""kazuki"" as of writing) that
    must never be touched, so no test in this suite creates or deletes a
    bucket for real.
    ","0","test_object_store_bucket_create_dialog_can_be_cancelled","tests.web","2026-09-15","broken","2026-09-15","","test_object_store","",""
"System > Status must render live hardware/build facts, not an empty shell.

    A blank/loading summary here usually means the device-info API call that
    backs this screen failed silently, so this is a cheap smoke check for
    that upstream dependency in addition to verifying the UI itself.
    ","0","test_system_status_shows_hardware_summary","tests.web","2026-09-15","broken","2026-09-15","","test_system_administration","",""
"Migrated storage variant matrix from legacy test_ui_configure_all_variants.

    One test node per ``storage_variant`` (see ``pytest_generate_tests`` above)
    instead of one test looping over the whole matrix.
    ","0","test_ui_configure_storage_variant[fs=zfs|enc=True|raid=0_5|io=512|sync=application sync|dedup=False|cmp=False|obj=True]","tests.web","2026-09-15","broken","2026-09-15","","test_web_shipment","",""
"Migrated storage variant matrix from legacy test_ui_configure_all_variants.

    One test node per ``storage_variant`` (see ``pytest_generate_tests`` above)
    instead of one test looping over the whole matrix.
    ","0","test_ui_configure_storage_variant[fs=zfs|enc=True|raid=0_5|io=512|sync=application sync|dedup=False|cmp=False|obj=False]","tests.web","2026-09-15","broken","2026-09-15","","test_web_shipment","",""
"All three Settings tabs (Timezone/Session Timeout/Date and Time) load with a value + Change control.

    Never clicks any ""Change"" button - doing so opens a real edit dialog that
    would alter live device behaviour (e.g. session timeout affects every
    other test in the suite), so this only verifies the read-only summary.
    ","0","test_settings_tabs_show_current_values","tests.web","2026-09-15","broken","2026-09-15","","test_system_administration","",""
